,mileage,manufacturer,fuel,gear,offer_type,price,hp,age_of_car,place_of_origin,price_category_userdef
79,28238,Opel,Gasoline,Manual,Used,10190,140.0,6,Germany,Moderate
80,114327,Opel,Diesel,Automatic,Used,10200,131.0,6,Germany,Moderate
81,80575,Volkswagen,Diesel,Manual,Used,10299,105.0,6,Germany,Moderate
82,79987,Ford,Gasoline,Automatic,Used,10444,105.0,6,others,Moderate
83,166554,Skoda,Diesel,Manual,Used,10490,170.0,6,others,Moderate
84,47295,Ford,Gasoline,Manual,Used,10490,101.0,6,others,Moderate
85,90000,Opel,Diesel,Manual,Used,10499,170.0,6,Germany,Moderate
86,76800,other,Gasoline,Manual,Used,10580,110.0,6,others,Moderate
87,60000,other,Gasoline,Manual,Used,10750,110.0,6,others,Moderate
88,9500,Hyundai,Gasoline,Manual,Used,10750,125.0,6,others,Moderate
89,248000,other,Diesel,Automatic,Used,10900,170.0,6,others,Moderate
90,118000,Volkswagen,Diesel,Manual,Used,10950,150.0,6,Germany,Moderate
91,87000,Volkswagen,Gasoline,Manual,Used,10950,110.0,6,Germany,Moderate
92,137000,BMW,Diesel,Manual,Used,10950,116.0,6,Germany,Moderate
189,100,other,Gasoline,Manual,Pre-registered,10600,69.0,0,others,Moderate
190,15,other,Electric/Gasoline,Manual,Pre-registered,10680,69.0,0,others,Moderate
191,20,other,Gasoline,Manual,Pre-registered,10823,72.0,0,others,Moderate
192,15,other,Electric/Gasoline,Manual,Pre-registered,10980,69.0,0,others,Moderate
193,10,other,Gasoline,Manual,Pre-registered,10997,72.0,0,others,Moderate
194,9,other,Gasoline,Manual,Pre-registered,11490,72.0,0,others,Moderate
195,100,Hyundai,Gasoline,Manual,Pre-registered,11499,67.0,0,others,Moderate
196,10,other,Gasoline,Manual,Pre-registered,11790,72.0,0,others,Moderate
197,10,other,Gasoline,Manual,Pre-registered,11950,84.0,0,others,Moderate
198,10,other,Gasoline,Manual,Pre-registered,11990,72.0,0,others,Moderate
332,6761,Volkswagen,Gasoline,Manual,Used,19490,125.0,3,Germany,Moderate
333,44626,Skoda,Gasoline,Manual,Used,19940,179.0,3,others,Moderate
334,35000,other,Gasoline,Manual,Used,19950,182.0,3,others,Moderate
366,23864,Ford,Gasoline,Manual,Employee's car,12970,95.0,1,others,Moderate
367,25885,Ford,Gasoline,Manual,Employee's car,12980,95.0,1,others,Moderate
368,19990,Ford,Gasoline,Manual,Employee's car,13330,95.0,1,others,Moderate
369,2438,SEAT,Gasoline,Manual,Demonstration,13950,80.0,1,others,Moderate
370,50,SEAT,Gasoline,Manual,Pre-registered,14490,95.0,1,others,Moderate
371,18805,Ford,Gasoline,Manual,Employee's car,14990,101.0,1,others,Moderate
372,9990,Ford,Gasoline,Manual,Employee's car,15490,101.0,1,others,Moderate
373,18365,Ford,Gasoline,Manual,Employee's car,15790,101.0,1,others,Moderate
374,23560,Ford,Gasoline,Manual,Employee's car,15880,125.0,1,others,Moderate
375,9990,Ford,Electric/Gasoline,Manual,Employee's car,15970,125.0,1,others,Moderate
376,6315,Ford,Electric/Gasoline,Manual,Employee's car,16450,125.0,1,others,Moderate
377,4246,other,Gasoline,Manual,Demonstration,16880,90.0,1,others,Moderate
378,11570,Ford,Diesel,Manual,Employee's car,19390,150.0,1,others,Moderate
379,7360,Ford,Diesel,Manual,Employee's car,19790,150.0,1,others,Moderate
380,5050,Ford,Diesel,Manual,Employee's car,19970,150.0,1,others,Moderate
381,8125,Ford,Diesel,Manual,Employee's car,19990,150.0,1,others,Moderate
382,50,Ford,Gasoline,Manual,Pre-registered,19990,125.0,1,others,Moderate
457,42000,Ford,Gasoline,Manual,Used,13790,120.0,5,others,Moderate
458,147000,BMW,Diesel,Manual,Used,13999,190.0,5,Germany,Moderate
459,88250,Opel,Diesel,Manual,Used,14390,136.0,5,Germany,Moderate
460,106000,Opel,Diesel,Automatic,Used,14750,170.0,5,Germany,Moderate
461,46100,Opel,Diesel,Manual,Used,14950,136.0,5,Germany,Moderate
462,52500,Opel,Diesel,Manual,Used,15250,136.0,5,Germany,Moderate
463,142000,BMW,Diesel,Automatic,Used,16490,258.0,5,Germany,Moderate
464,38500,Volkswagen,Gasoline,Manual,Used,16500,110.0,5,Germany,Moderate
465,136498,Ford,Diesel,Automatic,Used,18450,179.0,5,others,Moderate
466,112300,Audi,Diesel,Automatic,Used,18450,190.0,5,Germany,Moderate
467,12600,Ford,Diesel,Manual,Used,19900,155.0,5,others,Moderate
468,210000,BMW,Diesel,Automatic,Used,19900,258.0,5,Germany,Moderate
469,9350,Mercedes-Benz,Gasoline,Manual,Used,19950,122.0,5,Germany,Moderate
669,75419,Opel,Diesel,Manual,Used,13990,136.0,3,Germany,Moderate
670,24415,Ford,Gasoline,Manual,Used,13990,101.0,3,others,Moderate
671,35000,Hyundai,Gasoline,Manual,Used,14450,120.0,3,others,Moderate
672,150000,Volkswagen,Diesel,Automatic,Used,14510,150.0,3,Germany,Moderate
673,16900,other,Electric/Gasoline,Automatic,Used,15900,102.0,3,others,Moderate
674,83526,Volkswagen,Diesel,Manual,Used,15950,116.0,3,Germany,Moderate
675,65478,other,Diesel,Automatic,Used,15999,116.0,3,Germany,Moderate
676,82800,BMW,Gasoline,Automatic,Used,16300,136.0,3,Germany,Moderate
677,10448,Opel,Gasoline,Manual,Used,16790,131.0,3,Germany,Moderate
678,54900,Audi,Gasoline,Automatic,Used,16900,95.0,3,Germany,Moderate
679,92435,Volkswagen,Diesel,Manual,Used,16950,116.0,3,Germany,Moderate
680,20647,Hyundai,Electric/Gasoline,Automatic,Used,16990,141.0,3,others,Moderate
681,37000,other,Electric/Gasoline,Automatic,Used,17900,98.0,3,others,Moderate
682,66000,Audi,Gasoline,Automatic,Used,17990,150.0,3,Germany,Moderate
683,15878,Volkswagen,Gasoline,Automatic,Used,18450,125.0,3,Germany,Moderate
684,8982,Opel,Gasoline,Automatic,Used,18700,110.0,3,Germany,Moderate
685,60150,Volkswagen,Gasoline,Manual,Used,18950,125.0,3,Germany,Moderate
686,64424,Volkswagen,Diesel,Automatic,Used,19450,150.0,3,Germany,Moderate
687,25587,other,Gasoline,Manual,Used,19499,192.0,3,Germany,Moderate
688,35990,SEAT,Gasoline,Automatic,Used,19550,116.0,3,others,Moderate
813,137125,Volkswagen,Gasoline,Manual,Used,10290,140.0,7,Germany,Moderate
814,148300,SEAT,Diesel,Manual,Used,10300,150.0,7,others,Moderate
815,70000,Ford,Gasoline,Manual,Used,10400,150.0,7,others,Moderate
816,110148,Opel,Gasoline,Manual,Used,10445,101.0,7,Germany,Moderate
817,122500,SEAT,Gasoline,Manual,Used,10450,122.0,7,others,Moderate
818,122000,Opel,Gasoline,Manual,Used,10490,140.0,7,Germany,Moderate
819,108854,BMW,Gasoline,Manual,Used,10490,136.0,7,Germany,Moderate
820,119969,other,Gasoline,Manual,Used,10490,120.0,7,others,Moderate
821,66842,Volkswagen,Gasoline,Manual,Used,10490,110.0,7,Germany,Moderate
822,150000,Audi,Diesel,Manual,Used,10500,90.0,7,Germany,Moderate
895,27250,other,Gasoline,Manual,Used,10990,82.0,2,others,Moderate
896,4900,Opel,Gasoline,Manual,Used,10990,90.0,2,Germany,Moderate
897,25419,Hyundai,Gasoline,Manual,Used,10997,75.0,2,others,Moderate
898,26300,other,Gasoline,Manual,Used,11190,110.0,2,others,Moderate
899,4600,other,Gasoline,Manual,Used,11220,69.0,2,others,Moderate
900,27517,Ford,Diesel,Manual,Used,11280,86.0,2,others,Moderate
901,8453,Opel,Gasoline,Manual,Used,11440,87.0,2,Germany,Moderate
902,34900,Opel,Gasoline,Manual,Used,11450,90.0,2,Germany,Moderate
903,33692,other,Gasoline,Manual,Used,11450,90.0,2,others,Moderate
904,59889,Opel,Gasoline,Manual,Used,11470,83.0,2,Germany,Moderate
905,85416,Opel,Diesel,Manual,Used,11490,110.0,2,Germany,Moderate
906,8000,Opel,Gasoline,Manual,Used,11490,90.0,2,Germany,Moderate
907,25900,Ford,Gasoline,Manual,Used,11500,71.0,2,others,Moderate
908,22445,Opel,Gasoline,Manual,Used,11680,90.0,2,Germany,Moderate
909,2000,other,Gasoline,Manual,Demonstration,11697,68.0,2,others,Moderate
910,20411,other,Electric,Automatic,Used,11749,82.0,2,Germany,Moderate
911,75949,Opel,Diesel,Manual,Used,11790,110.0,2,Germany,Moderate
912,13770,Ford,Gasoline,Manual,Used,11850,86.0,2,others,Moderate
913,13850,other,Gasoline,Manual,Used,11880,90.0,2,Germany,Moderate
914,10000,Skoda,Gasoline,Manual,Demonstration,11900,75.0,2,others,Moderate
915,5000,Hyundai,Gasoline,Automatic,Used,12590,67.0,1,others,Moderate
916,5500,Volkswagen,Gasoline,Manual,Demonstration,12680,60.0,1,Germany,Moderate
917,8450,other,Gasoline,Automatic,Used,12690,80.0,1,others,Moderate
918,11281,Opel,Gasoline,Manual,Used,12740,75.0,1,Germany,Moderate
919,15892,Opel,Gasoline,Manual,Used,12740,75.0,1,Germany,Moderate
920,20,Skoda,Gasoline,Manual,Pre-registered,12750,60.0,1,others,Moderate
921,10,other,Gasoline,Manual,Pre-registered,12850,69.0,1,others,Moderate
922,3397,other,Gasoline,Automatic,Used,12890,80.0,1,others,Moderate
923,20,other,Gasoline,Manual,Used,12916,101.0,1,others,Moderate
924,3155,other,Gasoline,Manual,Pre-registered,12945,69.0,1,others,Moderate
925,10,other,Gasoline,Manual,Pre-registered,12945,69.0,1,others,Moderate
926,3000,other,Gasoline,Manual,Pre-registered,12945,69.0,1,others,Moderate
927,1500,other,Gasoline,Manual,Used,12950,82.0,1,others,Moderate
928,50200,Ford,Diesel,Manual,Employee's car,12950,86.0,1,others,Moderate
929,100,Ford,Gasoline,Manual,Employee's car,12950,95.0,1,others,Moderate
930,7500,Renault,Gasoline,Manual,Demonstration,12980,72.0,1,others,Moderate
931,15,other,Gasoline,Automatic,Pre-registered,12990,69.0,1,others,Moderate
932,2500,other,Gasoline,Automatic,Used,12990,80.0,1,others,Moderate
933,7368,other,Gasoline,Manual,Used,12990,69.0,1,others,Moderate
934,15,Skoda,Gasoline,Manual,Used,15985,95.0,0,others,Moderate
935,10,other,Gasoline,Automatic,Used,15990,91.0,0,others,Moderate
936,20,Renault,Gasoline,Manual,Pre-registered,15990,101.0,0,others,Moderate
937,10,other,Electric/Gasoline,Manual,Pre-registered,15990,69.0,0,others,Moderate
938,10,Renault,Electric,Automatic,Used,15990,109.0,0,others,Moderate
939,10,other,Gasoline,Manual,Demonstration,15990,84.0,0,others,Moderate
940,20,other,Gasoline,Automatic,Pre-registered,15990,69.0,0,others,Moderate
941,10,other,Gasoline,Manual,Pre-registered,15990,84.0,0,others,Moderate
942,10,Skoda,Gasoline,Manual,Used,16250,95.0,0,others,Moderate
943,20,Skoda,Gasoline,Manual,Pre-registered,16350,95.0,0,others,Moderate
944,50,Hyundai,Gasoline,Manual,Used,16399,84.0,0,others,Moderate
945,8452,Volkswagen,Gasoline,Manual,Demonstration,16450,80.0,0,Germany,Moderate
946,10,Renault,Gasoline,Manual,Used,16490,91.0,0,others,Moderate
1084,26591,other,Gasoline,Manual,Used,18700,140.0,3,others,Moderate
1085,7724,other,Gasoline,Automatic,Used,18888,136.0,3,Germany,Moderate
1086,34534,Audi,Gasoline,Manual,Used,18930,150.0,3,Germany,Moderate
1087,64648,BMW,Diesel,Automatic,Used,18950,190.0,3,Germany,Moderate
1088,102150,BMW,Diesel,Automatic,Used,18950,150.0,3,Germany,Moderate
1089,19050,other,Gasoline,Automatic,Used,18990,102.0,3,Germany,Moderate
1090,30149,Volkswagen,Gasoline,Manual,Used,19460,150.0,3,Germany,Moderate
1091,13644,Volkswagen,Gasoline,Manual,Used,19460,125.0,3,Germany,Moderate
1092,95462,Volkswagen,Diesel,Automatic,Used,19460,184.0,3,Germany,Moderate
1093,10000,Opel,Gasoline,Manual,Used,19480,140.0,3,Germany,Moderate
1094,10000,Opel,Gasoline,Manual,Used,19800,140.0,3,Germany,Moderate
1095,7200,Opel,Gasoline,Automatic,Used,19800,140.0,3,Germany,Moderate
1096,20612,other,Gasoline,Manual,Used,19830,102.0,3,Germany,Moderate
1097,45850,other,Gasoline,Automatic,Used,19880,147.0,3,others,Moderate
1098,30018,other,Gasoline,Manual,Used,19930,102.0,3,Germany,Moderate
1099,45000,other,Gasoline,Manual,Used,19930,102.0,3,Germany,Moderate
1100,25803,other,Gasoline,Manual,Used,19960,102.0,3,Germany,Moderate
1101,73215,Audi,Gasoline,Automatic,Used,19990,150.0,3,Germany,Moderate
1102,14900,Opel,Gasoline,Manual,Used,19990,165.0,3,Germany,Moderate
1103,4500,Opel,Gasoline,Manual,Used,19990,165.0,3,Germany,Moderate
1303,35666,other,Gasoline,Manual,Used,10085,83.0,2,others,Moderate
1304,27122,other,Gasoline,Manual,Used,10085,83.0,2,others,Moderate
1305,5500,Renault,Gasoline,Manual,Used,10200,92.0,2,others,Moderate
1306,18250,other,Gasoline,Manual,Used,10300,71.0,2,Germany,Moderate
1307,39880,Hyundai,Gasoline,Manual,Used,10360,75.0,2,others,Moderate
1308,38118,Hyundai,Gasoline,Manual,Used,10390,75.0,2,others,Moderate
1309,33359,other,Gasoline,Manual,Used,10440,72.0,2,others,Moderate
1310,15555,other,Gasoline,Manual,Used,10485,72.0,2,others,Moderate
1311,13899,other,Gasoline,Manual,Used,10485,83.0,2,others,Moderate
1312,27998,other,Gasoline,Manual,Used,10485,83.0,2,others,Moderate
1313,6985,other,Gasoline,Manual,Used,10485,83.0,2,others,Moderate
1314,8600,other,Gasoline,Manual,Used,10490,72.0,2,others,Moderate
1335,20,other,Gasoline,Manual,Pre-registered,12440,84.0,0,others,Moderate
1336,50,other,Gasoline,Manual,Employee's car,12690,84.0,0,others,Moderate
1337,662,Renault,Gasoline,Manual,Demonstration,12790,65.0,0,others,Moderate
1338,50,Ford,Gasoline,Manual,Pre-registered,12792,101.0,0,others,Moderate
1339,650,Hyundai,Gasoline,Manual,Demonstration,12890,67.0,0,others,Moderate
1340,10,other,Gasoline,Manual,Employee's car,12990,71.0,0,others,Moderate
1341,100,Opel,Gasoline,Manual,Pre-registered,12990,75.0,0,Germany,Moderate
1342,1250,Renault,Gasoline,Manual,Used,13290,65.0,0,others,Moderate
1343,20,other,Gasoline,Manual,Pre-registered,13340,84.0,0,others,Moderate
1344,2500,Renault,Gasoline,Manual,Demonstration,13390,65.0,0,others,Moderate
1345,55,Hyundai,Gasoline,Manual,Pre-registered,13390,84.0,0,others,Moderate
1346,49,other,Gasoline,Manual,Pre-registered,13390,69.0,0,others,Moderate
1347,11,Hyundai,Gasoline,Manual,Pre-registered,13390,84.0,0,others,Moderate
1348,1500,other,Gasoline,Manual,Demonstration,13480,72.0,0,others,Moderate
1349,990,Hyundai,Gasoline,Automatic,Demonstration,13490,67.0,0,others,Moderate
1467,44800,other,Gasoline,Automatic,Used,11699,90.0,4,Germany,Moderate
1468,9065,Hyundai,Gasoline,Manual,Used,11800,125.0,4,others,Moderate
1469,120950,Skoda,Diesel,Manual,Used,12390,150.0,4,others,Moderate
1470,25813,Renault,Gasoline,Manual,Used,12450,118.0,4,others,Moderate
1471,144230,Volkswagen,Diesel,Manual,Used,12490,102.0,4,Germany,Moderate
1472,92300,SEAT,Gasoline,Manual,Used,12900,125.0,4,others,Moderate
1473,57043,other,Gasoline,Automatic,Used,12900,110.0,4,others,Moderate
1474,32800,Volkswagen,Diesel,Manual,Used,13999,102.0,4,Germany,Moderate
1475,153570,Volkswagen,Diesel,Manual,Used,14899,190.0,4,Germany,Moderate
1476,75685,Ford,Diesel,Automatic,Used,14950,150.0,4,others,Moderate
1477,21000,other,Gasoline,Manual,Used,14950,120.0,4,others,Moderate
1478,28900,Opel,Gasoline,Manual,Used,14990,140.0,4,Germany,Moderate
1479,78027,other,Diesel,Automatic,Used,16590,105.0,4,others,Moderate
1480,97430,Skoda,Diesel,Automatic,Used,16999,150.0,4,others,Moderate
1481,136167,other,Diesel,Automatic,Used,17980,150.0,4,others,Moderate
1482,31900,Hyundai,Diesel,Automatic,Used,17990,116.0,4,others,Moderate
1483,41000,Hyundai,Gasoline,Manual,Used,17990,132.0,4,others,Moderate
1484,52000,Mercedes-Benz,Gasoline,Manual,Used,19590,156.0,4,Germany,Moderate
1485,19816,other,Diesel,Manual,Used,19800,120.0,4,others,Moderate
1545,9,Hyundai,Gasoline,Manual,Pre-registered,10990,67.0,0,others,Moderate
1546,25,other,Gasoline,Manual,Pre-registered,10990,72.0,0,others,Moderate
1547,10,other,Gasoline,Manual,Pre-registered,11196,72.0,0,others,Moderate
1548,10,other,Gasoline,Manual,Pre-registered,11296,72.0,0,others,Moderate
1549,10,Hyundai,Gasoline,Manual,Pre-registered,11330,67.0,0,others,Moderate
1550,600,Renault,Gasoline,Manual,Demonstration,11480,65.0,0,others,Moderate
1551,20,Renault,Gasoline,Manual,Pre-registered,11480,65.0,0,others,Moderate
1552,10,other,Electric/Gasoline,Manual,Pre-registered,11488,69.0,0,others,Moderate
1553,1780,other,Gasoline,Manual,Demonstration,11496,72.0,0,others,Moderate
1554,10,other,Gasoline,Manual,Pre-registered,11596,72.0,0,others,Moderate
1555,12,Hyundai,Gasoline,Manual,Pre-registered,11790,67.0,0,others,Moderate
1611,68950,other,Gasoline,Manual,Used,10950,102.0,6,Germany,Moderate
1612,42700,Volkswagen,other,Manual,Used,10980,109.0,6,Germany,Moderate
1613,122028,Volkswagen,Diesel,Manual,Used,10980,75.0,6,Germany,Moderate
1614,89800,Volkswagen,Diesel,Manual,Used,10980,120.0,6,Germany,Moderate
1615,133500,Volkswagen,Diesel,Manual,Used,10980,150.0,6,Germany,Moderate
1616,30000,other,Gasoline,Manual,Used,10990,102.0,6,Germany,Moderate
1617,215000,Volkswagen,Diesel,Automatic,Used,10990,150.0,6,Germany,Moderate
1618,216000,Skoda,Diesel,Automatic,Used,10990,184.0,6,others,Moderate
1619,59200,Opel,Gasoline,Manual,Used,10990,116.0,6,Germany,Moderate
1620,107000,Opel,Diesel,Manual,Used,10990,165.0,6,Germany,Moderate
1621,49000,Volkswagen,Gasoline,Manual,Used,11000,86.0,6,Germany,Moderate
1622,217000,other,Diesel,Automatic,Used,11000,170.0,6,others,Moderate
1623,161000,Mercedes-Benz,Diesel,Manual,Used,11000,95.0,6,Germany,Moderate
1624,85700,BMW,Gasoline,Manual,Used,11000,109.0,6,Germany,Moderate
1625,130000,Volkswagen,Diesel,Automatic,Used,11000,110.0,6,Germany,Moderate
1626,187000,other,Diesel,Automatic,Used,11150,170.0,6,others,Moderate
1627,188000,other,Diesel,Automatic,Used,11200,170.0,6,others,Moderate
1628,67000,Opel,Diesel,Manual,Used,11241,163.0,6,Germany,Moderate
1676,113000,Ford,Diesel,Automatic,Used,12200,150.0,3,others,Moderate
1677,39000,Opel,Diesel,Automatic,Used,12376,95.0,3,Germany,Moderate
1678,34300,Opel,Gasoline,Manual,Used,12971,125.0,3,Germany,Moderate
1679,58000,other,Gasoline,Manual,Used,13490,102.0,3,Germany,Moderate
1680,27000,other,Gasoline,Automatic,Used,14300,110.0,3,others,Moderate
1681,117000,Opel,Diesel,Manual,Used,14399,136.0,3,Germany,Moderate
1682,20500,other,Gasoline,Manual,Used,14880,116.0,3,others,Moderate
1683,9500,other,Gasoline,Manual,Demonstration,15980,110.0,3,others,Moderate
1684,17500,other,Gasoline,Automatic,Used,19680,116.0,3,others,Moderate
1705,10,Hyundai,Gasoline,Manual,Pre-registered,11990,67.0,0,others,Moderate
1706,1000,other,Gasoline,Manual,Demonstration,11990,72.0,0,others,Moderate
1707,10,other,Gasoline,Manual,Pre-registered,12190,72.0,0,others,Moderate
1708,10,other,Gasoline,Manual,Pre-registered,12390,72.0,0,others,Moderate
1709,9,other,Gasoline,Manual,Pre-registered,12390,72.0,0,others,Moderate
1710,10,other,Gasoline,Manual,Demonstration,12450,67.0,0,others,Moderate
1711,9,other,Gasoline,Manual,Pre-registered,12590,72.0,0,others,Moderate
1712,1000,other,Gasoline,Manual,Demonstration,12590,71.0,0,others,Moderate
1713,15,other,Gasoline,Manual,Pre-registered,12780,69.0,0,others,Moderate
1714,15,other,Electric/Gasoline,Manual,Pre-registered,12780,69.0,0,others,Moderate
1715,10,Ford,Gasoline,Manual,Pre-registered,12790,75.0,0,others,Moderate
1716,9,other,Gasoline,Manual,Pre-registered,12790,72.0,0,others,Moderate
1717,10,other,Gasoline,Automatic,Pre-registered,12790,72.0,0,others,Moderate
1873,60866,Opel,Gasoline,Manual,Used,12290,82.0,2,Germany,Moderate
1874,11400,Ford,Gasoline,Manual,Demonstration,12400,86.0,2,others,Moderate
1875,7400,other,Gasoline,Automatic,Used,12900,80.0,2,others,Moderate
1876,10000,Ford,Gasoline,Manual,Used,12990,86.0,2,others,Moderate
1877,100,Ford,Gasoline,Manual,Used,13862,86.0,2,others,Moderate
1878,100,Ford,Gasoline,Manual,Used,13990,86.0,2,others,Moderate
1879,200,Ford,Gasoline,Manual,Used,13990,71.0,2,others,Moderate
1880,14970,other,Gasoline,Automatic,Used,14980,128.0,2,others,Moderate
1881,21537,Skoda,Gasoline,Manual,Used,14980,110.0,2,others,Moderate
1882,5680,Renault,Gasoline,Automatic,Used,15690,131.0,2,others,Moderate
1883,3550,Opel,Gasoline,Manual,Used,15800,110.0,2,Germany,Moderate
1884,6950,Ford,Gasoline,Manual,Used,16886,125.0,2,others,Moderate
1885,24000,Ford,Gasoline,Manual,Used,16990,125.0,2,others,Moderate
1886,29950,Ford,Gasoline,Manual,Used,17184,125.0,2,others,Moderate
1887,31673,Ford,Gasoline,Manual,Used,17880,125.0,2,others,Moderate
1888,31050,Skoda,Gasoline,Manual,Used,17990,150.0,2,others,Moderate
1889,4000,Renault,Gasoline,Manual,Demonstration,18143,101.0,2,others,Moderate
1890,19958,Ford,Gasoline,Manual,Used,18880,125.0,2,others,Moderate
1891,3550,Renault,Gasoline,Manual,Demonstration,18900,90.0,2,others,Moderate
1918,138,other,other,Manual,Used,13680,101.0,0,others,Moderate
1919,138,other,Gasoline,Manual,Used,13680,101.0,0,others,Moderate
1920,126,other,other,Manual,Pre-registered,13680,101.0,0,others,Moderate
1921,126,other,Gasoline,Manual,Pre-registered,13680,101.0,0,others,Moderate
1922,10,Hyundai,Gasoline,Automatic,Pre-registered,15690,84.0,0,others,Moderate
1923,11,Hyundai,Gasoline,Automatic,Pre-registered,15900,101.0,0,others,Moderate
1924,112,other,Gasoline,Manual,Pre-registered,15980,101.0,0,others,Moderate
2263,21765,other,Gasoline,Manual,Used,11480,90.0,2,others,Moderate
2264,15606,Opel,Gasoline,Manual,Used,11490,69.0,2,Germany,Moderate
2265,45520,Renault,Diesel,Manual,Used,11690,90.0,2,others,Moderate
2266,2600,other,Gasoline,Manual,Used,11980,90.0,2,others,Moderate
2267,24700,other,Gasoline,Manual,Used,14480,102.0,2,others,Moderate
2268,141000,Volkswagen,Diesel,Automatic,Used,15950,150.0,2,Germany,Moderate
2269,8600,Ford,Gasoline,Automatic,Used,16500,101.0,2,others,Moderate
2270,3980,other,Gasoline,Automatic,Demonstration,16927,84.0,2,others,Moderate
2271,4825,Volkswagen,Gasoline,Manual,Used,16950,116.0,2,Germany,Moderate
2272,8398,Volkswagen,Diesel,Manual,Used,16950,95.0,2,Germany,Moderate
2273,14840,other,Gasoline,Manual,Used,16990,132.0,2,others,Moderate
2274,29600,Mercedes-Benz,Diesel,Manual,Used,17000,110.0,2,Germany,Moderate
2275,11200,BMW,Gasoline,Manual,Used,18380,109.0,2,Germany,Moderate
2276,19505,Volkswagen,Gasoline,Automatic,Used,18390,116.0,2,Germany,Moderate
2277,17317,Volkswagen,Gasoline,Manual,Used,18950,200.0,2,Germany,Moderate
2299,10,other,Gasoline,Manual,Pre-registered,15390,83.0,0,others,Moderate
2300,15,Opel,Gasoline,Manual,Used,17900,131.0,0,Germany,Moderate
2301,4950,other,Gasoline,Automatic,Demonstration,18370,101.0,0,others,Moderate
2302,10,other,Gasoline,Manual,Pre-registered,18990,129.0,0,others,Moderate
2303,14,other,Electric/Gasoline,Manual,Pre-registered,19990,129.0,0,others,Moderate
2353,110300,Volkswagen,Diesel,Manual,Used,10400,105.0,8,Germany,Moderate
2354,100000,Volkswagen,Gasoline,Manual,Used,10450,105.0,8,Germany,Moderate
2355,148342,Volkswagen,Diesel,Automatic,Used,10490,140.0,8,Germany,Moderate
2356,104574,other,Gasoline,Manual,Used,10490,184.0,8,Germany,Moderate
2357,188300,Audi,Diesel,Automatic,Used,10500,150.0,8,Germany,Moderate
2358,142500,Audi,Diesel,Manual,Used,10500,177.0,8,Germany,Moderate
2359,182000,other,Diesel,Automatic,Used,10500,184.0,8,others,Moderate
2360,134000,Ford,Diesel,Manual,Used,10500,140.0,8,others,Moderate
2361,74900,other,Gasoline,Manual,Used,10680,120.0,8,others,Moderate
2362,159300,Volkswagen,Gasoline,Manual,Used,10500,122.0,7,Germany,Moderate
2363,107000,Volkswagen,Diesel,Manual,Used,10500,150.0,7,Germany,Moderate
2364,245999,Audi,Diesel,Automatic,Used,10550,245.0,7,Germany,Moderate
2365,109486,BMW,Diesel,Manual,Used,10689,184.0,7,Germany,Moderate
2366,112600,other,Diesel,Manual,Used,10700,111.0,7,others,Moderate
2367,113700,Audi,Diesel,Manual,Used,10700,90.0,7,Germany,Moderate
2368,97500,Opel,Gasoline,Manual,Used,10800,192.0,7,Germany,Moderate
2369,44200,other,Gasoline,Automatic,Used,10860,120.0,7,others,Moderate
2370,99800,Ford,Gasoline,Manual,Used,10880,182.0,7,others,Moderate
2371,51736,Opel,Diesel,Manual,Used,10899,140.0,7,Germany,Moderate
2372,50400,Ford,Gasoline,Manual,Used,10900,101.0,7,others,Moderate
2373,100500,SEAT,Gasoline,Manual,Used,10900,122.0,7,others,Moderate
2374,70700,Volkswagen,Gasoline,Manual,Used,10900,110.0,7,Germany,Moderate
2375,95357,SEAT,Gasoline,Automatic,Used,10945,150.0,7,others,Moderate
2376,35901,Opel,Gasoline,Automatic,Used,10975,90.0,7,Germany,Moderate
2377,94732,other,Gasoline,Manual,Used,10975,117.0,7,others,Moderate
2378,172578,Audi,Diesel,Automatic,Used,10990,204.0,7,Germany,Moderate
2379,102900,Audi,Gasoline,Manual,Used,10990,86.0,7,Germany,Moderate
2380,46450,Volkswagen,Gasoline,Manual,Used,10990,86.0,7,Germany,Moderate
2430,7990,other,Gasoline,Manual,Used,11900,71.0,2,Germany,Moderate
2431,15000,Ford,Gasoline,Manual,Used,11950,86.0,2,others,Moderate
2432,26664,Opel,Gasoline,Manual,Used,11950,90.0,2,Germany,Moderate
2433,22962,other,Gasoline,Manual,Used,11980,72.0,2,others,Moderate
2434,18458,other,Gasoline,Manual,Used,11990,90.0,2,others,Moderate
2435,41190,Opel,Gasoline,Manual,Used,11990,87.0,2,Germany,Moderate
2436,53598,Ford,Diesel,Manual,Used,11990,75.0,2,others,Moderate
2437,49000,Opel,Diesel,Manual,Used,11999,110.0,2,Germany,Moderate
2438,16467,Opel,Gasoline,Manual,Used,11999,101.0,2,Germany,Moderate
2439,14000,Hyundai,Gasoline,Manual,Used,12000,84.0,2,others,Moderate
2440,14500,other,Gasoline,Automatic,Used,12000,90.0,2,Germany,Moderate
2441,2000,other,Gasoline,Manual,Demonstration,12211,83.0,2,others,Moderate
2442,5300,Renault,Gasoline,Manual,Used,12250,90.0,2,others,Moderate
2443,6506,other,Gasoline,Manual,Used,12300,71.0,2,Germany,Moderate
2444,18959,Opel,Gasoline,Manual,Used,12340,90.0,2,Germany,Moderate
2445,2000,other,Gasoline,Manual,Demonstration,12399,83.0,2,others,Moderate
2446,22700,Ford,Gasoline,Manual,Used,12400,101.0,2,others,Moderate
